"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Valid Start Date","Valid End Date"
1886838,"confirmed covid-19 snomed",3661405,"138389411000119105","Acute bronchitis caused by SARS-CoV-2","Condition","SNOMED","S","2020-07-31","2099-12-31"
1886838,"confirmed covid-19 snomed",605554,"1119302008","Acute COVID-19","Condition","SNOMED","S","2021-01-31","2099-12-31"
1886838,"confirmed covid-19 snomed",3655976,"870590002","Acute hypoxemic respiratory failure due to COVID-19","Condition","SNOMED","S","2020-07-31","2099-12-31"
1886838,"confirmed covid-19 snomed",3661748,"870589006","Acute kidney injury due to COVID-19","Condition","SNOMED","S","2020-07-31","2099-12-31"
1886838,"confirmed covid-19 snomed",3661406,"674814021000119106","Acute respiratory distress syndrome due to COVID-19","Condition","SNOMED","S","2020-07-31","2099-12-31"
1886838,"confirmed covid-19 snomed",601870,"471971000124108","Anxiety disorder due to severe acute respiratory syndrome coronavirus 2","Condition","SNOMED","S","2021-09-01","2099-12-31"
1886838,"confirmed covid-19 snomed",3662381,"189486241000119100","Asymptomatic SARS-CoV-2","Observation","SNOMED","S","2020-07-31","2099-12-31"
1886838,"confirmed covid-19 snomed",756031,"OMOP4873909","Bronchitis caused by COVID-19","Condition","OMOP Extension","S","2020-03-18","2099-12-31"
1886838,"confirmed covid-19 snomed",3656667,"119731000146105","Cardiomyopathy due to COVID-19","Condition","SNOMED","S","2020-07-31","2099-12-31"
1886838,"confirmed covid-19 snomed",3656668,"119741000146102","Conjunctivitis due to COVID-19","Condition","SNOMED","S","2020-07-31","2099-12-31"
1886838,"confirmed covid-19 snomed",37311061,"840539006","COVID-19","Condition","SNOMED","S","2020-01-31","2099-12-31"
1886838,"confirmed covid-19 snomed",37174329,"894362851000119109","Disease caused by severe acute respiratory syndrome coronavirus 2 during pregnancy","Condition","SNOMED","S","2023-06-30","2099-12-31"
1886838,"confirmed covid-19 snomed",3656669,"119981000146107","Dyspnea caused by SARS-CoV-2","Condition","SNOMED","S","2020-07-31","2099-12-31"
1886838,"confirmed covid-19 snomed",37310284,"1240561000000108","Encephalopathy due to COVID-19","Condition","SNOMED","S","2020-02-04","2099-12-31"
1886838,"confirmed covid-19 snomed",1340294,"OMOP5165949","Exacerbation of COVID-19","Condition","OMOP Extension","S","2022-05-06","2099-12-31"
1886838,"confirmed covid-19 snomed",1340437,"OMOP5166092","Exacerbation of pneumonia caused by SARS-CoV-2","Condition","OMOP Extension","S","2022-05-06","2099-12-31"
1886838,"confirmed covid-19 snomed",3661885,"119751000146104","Fever caused by SARS-CoV-2","Condition","SNOMED","S","2020-07-31","2099-12-31"
1886838,"confirmed covid-19 snomed",37310283,"1240571000000101","Gastroenteritis caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)","Condition","SNOMED","S","2020-02-04","2099-12-31"
1886838,"confirmed covid-19 snomed",3663281,"880529761000119102","Infection of lower respiratory tract caused by SARS-CoV-2","Condition","SNOMED","S","2020-07-31","2099-12-31"
1886838,"confirmed covid-19 snomed",37310286,"1240541000000107","Infection of upper respiratory tract caused by SARS-CoV-2","Condition","SNOMED","S","2020-02-04","2099-12-31"
1886838,"confirmed covid-19 snomed",3661631,"866151004","Lymphocytopenia due to COVID-19","Condition","SNOMED","S","2020-07-31","2099-12-31"
1886838,"confirmed covid-19 snomed",37310287,"1240531000000103","Myocarditis due to COVID-19","Condition","SNOMED","S","2020-02-04","2099-12-31"
1886838,"confirmed covid-19 snomed",37310254,"1240521000000100","Otitis media due to COVID-19","Condition","SNOMED","S","2020-02-04","2099-12-31"
1886838,"confirmed covid-19 snomed",3661408,"882784691000119100","Pneumonia caused by SARS-CoV-2","Condition","SNOMED","S","2020-07-31","2099-12-31"
1886838,"confirmed covid-19 snomed",756039,"OMOP4873907","Respiratory infection caused by COVID-19","Condition","OMOP Extension","S","2020-03-18","2099-12-31"
1886838,"confirmed covid-19 snomed",3655977,"870591003","Rhabdomyolysis due to COVID-19","Condition","SNOMED","S","2020-07-31","2099-12-31"
1886838,"confirmed covid-19 snomed",37163567,"1217296006","SARS-CoV-2 breakthrough infection","Condition","SNOMED","S","2022-04-30","2099-12-31"
1886838,"confirmed covid-19 snomed",605292,"1017214008","SARS-CoV-2 viremia","Condition","SNOMED","S","2021-01-31","2099-12-31"
1886838,"confirmed covid-19 snomed",3655975,"870588003","Sepsis due to disease caused by COVID-19","Condition","SNOMED","S","2020-07-31","2099-12-31"
1886838,"confirmed covid-19 snomed",3661632,"866152006","Thrombocytopenia due to COVID-19","Condition","SNOMED","S","2020-07-31","2099-12-31"